"Sample_ID","PC1","PC2","PC3","Group"
"GSM254706",28.6255674175229,13.6941375873961,4.25075759197351,"Normal"
"GSM254707",-32.9014861634537,31.1234034865652,-9.05681553998641,"Tumor"
"GSM254708",27.3508398768993,4.47305380552237,-4.40718660625063,"Normal"
"GSM254709",-27.6820087922445,30.7086679376253,17.0793580896209,"Tumor"
"GSM254710",9.75808040622881,37.9424871540312,-8.0752123208476,"Normal"
"GSM254711",33.6426483631802,-16.2848587038411,-4.99330124124641,"Normal"
"GSM254712",29.5362946356071,-42.0572931724781,40.0643217432068,"Normal"
"GSM254713",37.484103566542,-29.5352995027793,12.3890599316986,"Normal"
"GSM254714",-21.3551150113795,-11.1529621181133,15.6550890732187,"Tumor"
"GSM254715",39.7309686428659,-31.008615210813,11.1589267692577,"Normal"
"GSM254716",-21.8993185840675,43.6334573627014,-20.3406017797242,"Tumor"
"GSM254717",33.2407678691603,4.34915646074633,4.97365416514918,"Normal"
"GSM254718",-21.0611619770475,-14.5018263835589,-6.71851780709513,"Tumor"
"GSM254719",44.027521649029,7.91104168895766,-8.58741236789291,"Normal"
"GSM254720",-26.5128871587644,-13.3333322039137,-4.79333214525399,"Tumor"
"GSM254721",-41.355732996766,1.15673193469551,18.3178297485485,"Tumor"
"GSM254722",-36.7322949936687,-13.4048547256498,-1.99133262609798,"Tumor"
"GSM254723",1.27188056315398,1.81872651132825,-12.0660640530041,"Normal"
"GSM254724",-42.6371785917183,-0.732768880714349,16.3731616164018,"Tumor"
"GSM254725",28.6386345820537,-28.8847779147006,-21.4271637992388,"Normal"
"GSM254726",0.705904808329894,9.50258707020437,-15.9213330426284,"Tumor"
"GSM254727",41.1633384382485,16.4421987058657,-19.6955450295688,"Normal"
"GSM254728",-24.8489938641926,4.58461101799019,-30.4100004707101,"Tumor"
"GSM254729",-9.40982744110411,-14.2681986415155,-9.2414292175383,"Tumor"
"GSM254730",44.7316469114536,1.21856361454582,-9.36045085403262,"Normal"
"GSM254731",40.1695040128105,-7.64968050423613,-11.1138941812003,"Normal"
