"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Gene_Symbol"
"201583_s_at",0.334432581042928,8.87279202676635,4.39726328126116,2.56939071685861e-05,9.87473841734397e-05,1.52799202489789,"Not Significant","SEC23B"
"220129_at",0.378176560686136,5.83845145529907,4.39664990803175,2.57555387060362e-05,9.89671786491817e-05,1.52569161406301,"Not Significant","SOHLH2"
"209119_x_at",-0.292037373890217,7.37433432138318,-4.39646060692761,2.57745883850301e-05,9.90233022385561e-05,1.52498169941705,"Not Significant","NR2F2"
"215071_s_at",0.615907478693525,8.69715448585047,4.39603137993565,2.5817832535482e-05,9.91723431112128e-05,1.52337209652492,"Not Significant","H2AC6"
"222233_s_at",0.374317848008092,6.17828975224299,4.39595291532603,2.58257453185484e-05,9.91856399402298e-05,1.52307786576257,"Not Significant","DCLRE1C"
"202739_s_at",-0.369010649964461,7.12326408285981,-4.39495505935407,2.5926578529762e-05,9.95557383040991e-05,1.51933637138917,"Not Significant","PHKB"
"221579_s_at",0.259605638875439,8.56297383406542,4.39371289235582,2.6052629784107e-05,0.000100022527477474,1.51467965116476,"Not Significant","NUDT3"
"204631_at",-0.141215019337791,4.73446997942991,-4.39358552411927,2.60655880664443e-05,0.000100055038567541,1.51420221627161,"Not Significant","MYH2"
"205729_at",0.523643948376144,7.44306928425234,4.39337439569988,2.60870816921886e-05,0.000100120296477272,1.51341083081803,"Not Significant","OSMR"
"207436_x_at",-0.232332416320197,8.88194450665421,-4.39189534562558,2.62381341440233e-05,0.000100682683508054,1.50786756066899,"Not Significant","SORBS1"
"208833_s_at",0.254353327418015,10.7075234415701,4.39112281014303,2.63173665579783e-05,0.000100969331785715,1.50497272414631,"Not Significant","ATXN10"
"210660_at",-0.14215300932653,6.12047020207477,-4.39100028239254,2.63299543657464e-05,0.000101000236380087,1.50451362210212,"Not Significant","LILRA1"
"211470_s_at",0.689558447068612,7.23416988036449,4.39049458409066,2.63819683919276e-05,0.000101174661707811,1.50261890397184,"Not Significant","SULT1C2"
"210892_s_at",0.218025713758268,5.85580148882243,4.39046993196387,2.63845065379028e-05,0.000101174661707811,1.50252654284371,"Not Significant","GTF2I"
"219716_at",0.259689260134763,8.70351804802804,4.38998705187708,2.64342706415862e-05,0.000101343650769205,1.50071746757148,"Not Significant","APOL6"
