"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"215654_at",-0.117330998966925,6.43372764914953,-2.91920097535554,0.00426825134782247,0.0106066069793162,-3.29170344307176,"Not Significant"
"204159_at",0.242915644488036,5.93364302038318,2.91913863440675,0.00426904194428808,0.0106073886757997,-3.29187307441403,"Not Significant"
"205809_s_at",0.297281511548909,6.86870749104673,2.91894964045074,0.00427143955379629,0.0106121627357836,-3.29238731298064,"Not Significant"
"206140_at",0.0923881490781143,4.51053165860748,2.91781670023244,0.00428583819987939,0.0106467483397896,-3.29546936349066,"Not Significant"
"210756_s_at",0.229127089084448,9.04008900265421,2.91765524304356,0.00428789380360596,0.0106506674423979,-3.29590850844825,"Not Significant"
"205797_s_at",0.109774564751582,7.99456512516822,2.91750975659123,0.00428974685105609,0.0106540825994297,-3.296304197069,"Not Significant"
"202571_s_at",0.131830387335679,7.72190605713084,2.91731647579933,0.00429220978928548,0.0106590115607543,-3.29682984888962,"Not Significant"
"204332_s_at",0.250544702118931,8.38033013690654,2.91725305826613,0.00429301818934938,0.0106598311024373,-3.29700231449849,"Not Significant"
"216173_at",0.0771004154820548,4.38376448802804,2.91678088918304,0.00429904145548655,0.0106735978554437,-3.29828628977942,"Not Significant"
"209129_at",0.304398303388458,9.00810064166355,2.9166953599424,0.0043001333474332,0.0106751193606121,-3.2985188515246,"Not Significant"
"220353_at",0.114710917042224,7.25368472648598,2.91580570497393,0.00431150607691373,0.0107021599545359,-3.30093755853322,"Not Significant"
"214289_at",0.141521016457072,6.79120391306542,2.91574407996405,0.0043122948711347,0.0107029256642342,-3.30110507525195,"Not Significant"
"209427_at",-0.183826100116467,7.10728050303738,-2.91548905255506,0.00431556060815652,0.0107098381814848,-3.30179829012628,"Not Significant"
"201782_s_at",-0.137536484327938,9.40988795839252,-2.91506780748388,0.00432095981391469,0.0107220431551738,-3.30294320402073,"Not Significant"
"214727_at",0.105675663138283,4.82911678193458,2.91479569431686,0.00432445085816411,0.0107295110202061,-3.30368271297369,"Not Significant"
"201813_s_at",-0.198770460675933,9.2172670805514,-2.91472160589792,0.00432540181586228,0.0107306756471676,-3.30388404931715,"Not Significant"
"201288_at",-0.244231293699508,10.9930973278879,-2.91465770309449,0.00432622219106175,0.0107315160952275,-3.30405770259285,"Not Significant"
"211728_s_at",0.119708445871921,6.597923544,2.91412104109698,0.00433311742840254,0.0107474238264797,-3.30551593145987,"Not Significant"
"220553_s_at",0.222916880714637,5.99332895642056,2.91384155018444,0.00433671243277335,0.0107551433655524,-3.30627527900219,"Not Significant"
"201463_s_at",0.302155384117874,10.7715501722804,2.91367806764008,0.00433881652827057,0.0107591641107782,-3.30671941511659,"Not Significant"
"200774_at",0.19213789021499,10.7706537944206,2.91294838564281,0.00434821931619935,0.0107812808526616,-3.30870149641774,"Not Significant"
"219955_at",-0.0953373960091485,5.26832227417757,-2.91277496647951,0.00435045677341512,0.0107856284247896,-3.30917250346861,"Not Significant"
"43934_at",0.0956378245204078,7.82081669573832,2.91244389724869,0.00435473117327158,0.010795024444767,-3.31007162212593,"Not Significant"
"216950_s_at",-0.367832935207952,8.22033085364486,-2.9123364814082,0.00435611883693843,0.0107972631861512,-3.31036332357722,"Not Significant"
"206342_x_at",0.236427562986629,8.75239366028972,2.91217608879263,0.00435819164354798,0.0108011994653742,-3.31079887312575,"Not Significant"
"205141_at",-0.271876469347642,7.631033467,-2.91211867496897,0.00435893384159607,0.010801837499142,-3.31095477660004,"Not Significant"
"222163_s_at",0.243347102486276,7.48452573893458,2.91169853031164,0.00436436865784808,0.0108141028358533,-3.31209557194672,"Not Significant"
"204534_at",-0.15949409612069,5.21827157930841,-2.91141581372612,0.00436802926628875,0.0108219697732613,-3.31286313735756,"Not Significant"
"206310_at",0.179634893364532,7.21034567661682,2.91003216995899,0.00438598538828652,0.0108652487389871,-3.31661876206305,"Not Significant"
"207953_at",-0.15824230744898,6.54766883141122,-2.90979133142788,0.00438911777257704,0.0108717998361865,-3.31727231427277,"Not Significant"
"217743_s_at",0.298673038910626,9.45465343013084,2.908337183262,0.00440807437373184,0.0109175415438331,-3.32121738559862,"Not Significant"
